
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. PROC_SUBSYSTEM, 5301, 9036, 967, 0, 2, 8, 64, 11, 68
.	. AXI_GLUE_LOGIC, 0, 17, 0, 0, 0, 0, 0, 0, 0
.	. COREAHBTOAPB3_19s_0s, 101, 46, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 20, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 4, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1, 465, 729, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1, 139, 407, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s, 71, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9_1, 117, 322, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr_1, 3, 36, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1_0, 447, 718, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1_0, 143, 393, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s_0, 69, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9_1_0, 97, 325, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_1_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr_1_0, 2, 33, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_1, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_2, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREJTAGDEBUG_85_1s, 33, 128, 0, 0, 0, 0, 0, 3, 0
.	.	. uj_jtag_85, 33, 126, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_Z15, 193, 295, 23, 0, 0, 0, 2, 0, 0
.	.	. spi_32s_8s_32s_7s_0_0_1_0s_0s, 193, 295, 23, 0, 0, 0, 2, 0, 0
.	.	.	. spi_chanctrl_Z14, 122, 153, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_8s, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_32s_5_0, 18, 35, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_fifo_8s_32s_5_1, 18, 24, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_rf_32s_0, 35, 57, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z4, 60, 200, 2, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_192_0_0_0_0s, 60, 200, 2, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_192_0s_0_1_0, 45, 95, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 2, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0, 6, 52, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3, 5, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 6, 53, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 5, 7, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z7, 60, 181, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_0_0_0_0s, 60, 181, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_65536_0s_0_1_0, 56, 106, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z5, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 4, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_2, 3, 40, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_Z8, 0, 70, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAPB3_MUXPTOB3, 0, 60, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_Z11, 16, 5, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_Z12, 8, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s, 118, 98, 43, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s_0, 118, 98, 43, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb, 135, 70, 14, 0, 0, 0, 0, 7, 50
.	.	. CoreConfigP_Z17, 75, 47, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z18, 60, 22, 14, 0, 0, 0, 0, 3, 0
.	.	. MSS_SUBSYSTEM_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 1
.	.	. MSS_SUBSYSTEM_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. MSS_SUBSYSTEM_sb_MSS, 0, 1, 0, 0, 0, 0, 0, 2, 49
.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_1610612736_2s_5s_34s_2s, 3433, 6235, 663, 0, 2, 8, 46, 1, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ASYNC_FIFO_1s_36s_0s_2s, 85, 49, 0, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ASYNC_FIFO_1s_41s_1s_2s, 98, 53, 0, 0, 0, 0, 0, 1, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_DEBUG_TRANSPORT_MODULE_JTAG_Z13, 155, 182, 4, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TOP_1610612736, 3095, 5951, 659, 0, 2, 8, 46, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ROCKET_TILE_1610612736, 1763, 3553, 484, 0, 2, 8, 8, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_D_CACHE, 344, 534, 27, 0, 0, 4, 3, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER_2, 0, 113, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_D_CACHE_DATA_ARRAY, 0, 10, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FINISH_QUEUE, 4, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_METADATA_ARRAY, 8, 43, 8, 0, 0, 0, 3, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TLB_1, 0, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FRONTEND_1610612736, 265, 542, 40, 0, 0, 4, 3, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_I_CACHE, 176, 314, 10, 0, 0, 4, 3, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TLB_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ROCKET, 1154, 2477, 417, 0, 2, 0, 2, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ALU, 77, 440, 51, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_BREAKPOINT_UNIT, 0, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CSR_FILE, 432, 630, 123, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_MUL_DIV, 119, 259, 121, 0, 2, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_UNCORE, 1332, 2398, 175, 0, 0, 0, 38, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_DEBUG_MODULE, 106, 410, 24, 0, 0, 0, 4, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LEVEL_GATEWAY, 1, 0, 0, 0, 0, 0, 0, 0, 0
